Individual,Population,Sex,Age,Nuchal.Crest,L.Mastoid,R.Mastoid,L.Supraorbital.Margin,R.Supraorbital.Margin,Glabella,Mental.Eminence,L.Ventral.Arc,R.Ventral.Arc,L.Subpubic.Concavity,R.Subpubic.Concavity,L.Ischiopubic.Ramus,R.Ischiopubic.Ramus,L.Sciatic.Notch,R.Sciatic.Notch,L.Transverse,L.Texture,L.Micro,L.Macro,L.Apical,R.Transverse,R.Texture,R.Micro,R.Macro,R.Apical,L.Pubic.Symphysis,R.Pubic.Symphysis
S034V0074,MB11,Male,MA,3,3,3,4,4,4,3,NA,NA,5,NA,4,5,5,5,5,5,3,3,2,5,5,3,3,NA,NA,3
S051V0059,MB11,Male,MA,4,5,3,5,5,5,5,5,5,5,5,4,4,4,4,3,4,3,3,1,4,4,3,2,1,3,3
S064V0050,MB11,Male,MA,2,2,NA,4,4,4,5,4,4,4,4,5,5,3,3,4,3,3,3,2,4,3,3,2,3,4,4
S070V0067,MB11,Male,MA,2,4,4,4,4,5,4,5,5,4,4,3,3,4,4,4,4,3,3,3,5,4,3,2,2,4,4
S100V0159,MB11,Male,MA,5,5,5,NA,2,NA,5,4,3,4,4,5,5,2,2,5,5,3,3,3,6,6,NA,NA,NA,NA,NA
S155V0196,MB11,Male,MA,5,2,3,4,4,4,4,5,5,3,3,3,3,2,2,5,3,3,3,2,5,4,3,3,3,4,5
S174V0408,MB11,Male,MA,2,1,1,4,4,3,5,1,NA,1,NA,2,NA,4,2,4,5,3,2,1,4,5,3,2,1,NA,NA
S216V0233,MB11,Male,MA,5,5,5,2,1,1,4,1,2,1,1,1,1,4,3,5,3,3,2,3,4,3,3,2,3,6,4
S237V0348,MB11,Male,MA,5,5,5,3,3,2,4,5,5,5,5,5,5,5,5,3,3,3,2,1,4,2,3,2,1,NA,NA
S253V0466,MB11,Male,MA,5,4,4,2,2,2,1,5,NA,5,NA,5,NA,5,4,NA,NA,NA,NA,NA,5,2,3,2,3,NA,NA
S285V0452,MB11,Male,MA,4,NA,3,5,5,5,5,3,3,5,5,4,5,5,5,3,4,3,3,2,3,4,3,3,3,4,4
S289V0477,MB11,Male,MA,NA,3,2,4,4,5,2,4,4,NA,NA,4,4,4,4,5,3,2,3,3,4,4,3,2,1,5,4
S313V0926,MB11,Male,MA,4,3,2,5,4,5,4,NA,2,NA,2,NA,1,5,5,5,4,3,2,1,5,4,3,2,2,5,5
S342V0737,MB11,Male,MA,5,5,5,5,5,5,3,NA,NA,NA,NA,NA,NA,5,5,5,5,2,3,1,5,4,3,3,1,NA,NA
S375V0215,MB11,Male,MA,3,1,2,1,1,1,1,4,4,5,5,5,5,5,5,3,1,3,2,2,4,4,3,2,3,5,6
S402V0907,MB11,Male,MA,4,2,1,1,1,5,3,4,4,1,1,2,2,5,5,4,4,3,2,2,5,3,3,3,2,4,4
S473V1003,MB11,Male,MA,5,3,3,2,2,5,4,NA,NA,NA,NA,NA,NA,5,5,3,5,3,2,2,3,5,2,2,2,NA,NA
S144V0222,MB11,Male,OA,5,4,5,5,5,5,5,NA,5,4,4,3,3,2,3,5,5,3,2,3,5,5,3,2,3,NA,4
S233V0304,MB11,Male,OA,5,4,4,4,4,5,5,4,4,5,5,5,5,4,4,5,5,3,2,3,5,3,3,2,2,NA,NA
S239V0369,MB11,Male,OA,NA,2,2,1,1,2,4,NA,5,4,4,5,5,5,5,5,5,4,2,2,4,5,3,2,1,NA,NA
S242V0338,MB11,Male,OA,4,4,4,4,4,5,4,2,NA,3,NA,5,NA,4,5,5,5,3,3,1,4,3,3,3,1,6,NA
S297V0498,MB11,Male,OA,4,4,4,5,5,5,4,NA,NA,NA,NA,NA,NA,4,4,4,5,3,3,2,3,5,3,3,2,NA,NA
S306V0561,MB11,Male,OA,4,4,4,5,5,4,5,4,4,5,5,5,4,5,5,5,5,3,3,3,5,5,3,3,2,NA,NA
S337V0714,MB11,Male,OA,5,4,5,5,2,4,5,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,3,3,3,4,6
S349V0752,MB11,Male,OA,5,5,5,5,4,5,3,4,5,5,NA,5,NA,5,5,5,3,3,3,3,5,4,3,3,3,6,6
S477V1030,MB11,Male,OA,2,5,5,5,5,5,4,1,1,1,1,1,1,3,4,NA,NA,NA,NA,NA,4,4,3,3,3,6,6
