Individual,Population,Sex,Age,Nuchal.Crest,L.Mastoid,R.Mastoid,L.Supraorbital.Margin,R.Supraorbital.Margin,Glabella,Mental.Eminence,L.Ventral.Arc,R.Ventral.Arc,L.Subpubic.Concavity,R.Subpubic.Concavity,L.Ischiopubic.Ramus,R.Ischiopubic.Ramus,L.Sciatic.Notch,R.Sciatic.Notch,L.Transverse,L.Texture,L.Micro,L.Macro,L.Apical,R.Transverse,R.Texture,R.Micro,R.Macro,R.Apical,L.Pubic.Symphysis,R.Pubic.Symphysis
S405V0882,MB11,Female,LYA,1,2,1,2,2,1,4,1,1,1,1,1,1,2,2,4,4,3,2,1,4,4,3,2,1,4,4
S420V0936,MB11,Female,LYA,3,1,1,1,1,1,3,3,NA,1,NA,1,NA,3,4,4,2,2,2,1,4,2,3,2,1,2,NA
S452V0985,MB11,Female,LYA,1,1,1,1,1,2,1,1,NA,1,NA,1,NA,2,1,NA,NA,NA,NA,NA,5,5,1,1,1,1,NA
S453V0973,MB11,Female,LYA,4,2,2,1,1,1,2,1,1,1,1,1,1,1,1,3,4,3,3,1,3,5,3,3,1,3,3
S466V1010,MB11,Female,LYA,4,1,1,2,2,2,3,3,1,1,2,3,2,1,1,4,5,1,2,1,3,5,1,3,1,NA,3
S474V0998,MB11,Female,LYA,3,5,5,2,2,1,3,2,2,NA,2,NA,1,1,1,3,4,3,3,1,NA,NA,NA,NA,NA,6,6
S476V1054,MB11,Female,LYA,5,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,5,3,2,1,4,5,2,3,1,4,5
S088V0094,MB11,Female,MA,1,1,1,1,1,1,3,NA,1,NA,NA,NA,NA,1,1,4,5,3,3,1,5,5,3,3,3,NA,4
S101V0131,MB11,Female,MA,4,2,1,1,1,1,1,NA,NA,NA,NA,NA,NA,2,2,4,4,3,3,1,4,3,3,2,NA,NA,NA
S110V0213,MB11,Female,MA,3,NA,1,1,1,1,2,NA,1,NA,1,NA,1,2,2,NA,NA,NA,NA,NA,3,4,3,1,1,NA,4
S149V0280,MB11,Female,MA,1,2,2,2,1,2,2,NA,NA,NA,NA,NA,NA,3,3,4,5,3,2,1,4,5,2,3,1,NA,NA
S153V0435,MB11,Female,MA,4,1,1,4,NA,1,2,4,NA,1,NA,3,NA,4,5,2,3,3,2,1,3,3,3,1,1,5,NA
S157V0470,MB11,Female,MA,1,NA,NA,NA,1,1,1,1,NA,3,NA,3,NA,1,1,4,5,3,2,2,4,5,3,2,2,NA,NA
S162V0316,MB11,Female,MA,2,2,2,1,1,1,2,NA,NA,NA,NA,NA,NA,3,3,5,5,3,3,2,5,5,3,3,3,NA,NA
